provider,origin_platform,country_code,year,chart_name,artist,chart_appearances,unique_tracks,best_rank,mean_rank,top10_appearances,top50_appearances,streams_sum,stream_observations,artist_rank
MGD,SPOTIFY,CR,2021,Top 200,Myke Towers,759,24,34,124.192358,0,1,3405149,759,14
MGD,SPOTIFY,CR,2021,Top 200,Boza,658,3,3,41.414894,111,478,7744954,658,15
MGD,SPOTIFY,CR,2021,Top 200,Ed Sheeran,652,10,53,149.47546,0,0,2553195,652,16
MGD,SPOTIFY,CR,2021,Top 200,Harry Styles,651,3,45,121.548387,0,4,2930182,651,17
MGD,SPOTIFY,CR,2021,Top 200,Queen,578,2,117,170.231834,0,0,2002349,578,18
MGD,SPOTIFY,CR,2021,Top 200,Farruko,523,4,2,51.076482,188,308,6637293,523,19
MGD,SPOTIFY,CR,2021,Top 200,"J Balvin, Bad Bunny",515,2,31,91.621359,0,130,3200942,515,20
MGD,SPOTIFY,CR,2021,Top 200,Lil Nas X,492,7,5,48.056911,29,336,5047254,492,21
MGD,SPOTIFY,CR,2021,Top 200,Coldplay,473,27,7,109.926004,4,96,2785192,473,22
MGD,SPOTIFY,CR,2021,Top 200,Justin Quiles,458,4,14,93.264192,0,109,3012936,458,23
MGD,SPOTIFY,CR,2021,Top 200,BTS,438,11,6,106.605023,2,79,2462369,438,24
MGD,SPOTIFY,CR,2021,Top 200,Imagine Dragons,424,2,20,130.445755,0,51,1991161,424,25
MGD,SPOTIFY,CR,2022,Top 200,Bad Bunny,1228,28,1,79.77443,100,462,10348245,1228,1
MGD,SPOTIFY,CR,2022,Top 200,Christian Nodal,696,19,1,90.724138,30,198,5474155,696,2
MGD,SPOTIFY,CR,2022,Top 200,Rauw Alejandro,259,6,7,81.289575,13,134,2288391,259,3
MGD,SPOTIFY,CR,2022,Top 200,KAROL G,217,4,42,92.59447,0,9,1266517,217,4
MGD,SPOTIFY,CR,2022,Top 200,Doja Cat,216,3,54,110.166667,0,0,1105023,216,5
MGD,SPOTIFY,CR,2022,Top 200,Olivia Rodrigo,191,5,97,156.136126,0,0,778137,191,6
MGD,SPOTIFY,CR,2022,Top 200,Paulo Londra,190,3,97,144.731579,0,0,824856,190,7
MGD,SPOTIFY,CR,2022,Top 200,The Weeknd,188,20,51,140.414894,0,0,835453,188,8
MGD,SPOTIFY,CR,2022,Top 200,Maluma,185,3,12,64.010811,0,81,1613876,185,9
MGD,SPOTIFY,CR,2022,Top 200,Ryan Castro,176,3,11,103.113636,0,28,1145183,176,10
MGD,SPOTIFY,CR,2022,Top 200,Coldplay,176,10,51,136.767045,0,0,826003,176,11
MGD,SPOTIFY,CR,2022,Top 200,Trueno,144,2,22,64.090278,0,55,1092482,144,12
MGD,SPOTIFY,CR,2022,Top 200,Boza,144,3,57,90.25,0,0,827046,144,13
MGD,SPOTIFY,CR,2022,Top 200,Calibre 50,144,2,66,109.6875,0,0,743150,144,14
MGD,SPOTIFY,CR,2022,Top 200,Dua Lipa,144,2,91,136.638889,0,0,646720,144,15
MGD,SPOTIFY,CR,2022,Top 200,Imagine Dragons,143,3,17,93.314685,0,68,1062791,143,16
MGD,SPOTIFY,CR,2022,Top 200,"J Balvin, Bad Bunny",138,2,14,90.485507,0,72,1108419,138,17
MGD,SPOTIFY,CR,2022,Top 200,Adele,137,3,22,108.474453,0,45,871600,137,18
